,0
15736,I am a huge fan of Aqua and love both the Peking Road and Regent Street ones. But wow Aqua Shard is amazing. Service perfect. Food Perfect. But the view is simply the best in London. There is also a bar there if you just...More
15737,Didn't eat here but have been for drinks twice the first time the service was pretty slow thought might have been bad luck and the second time I came here on a Wednesday night the waitress spilt the first drink not that it bothered me...More
15738,"We had lunch at Aqua to celebrate my son's 15th birthday.  We had a great table by the window, with a wonderful view.  We ate from the set menu and had a lovely meal for just a few pounds more than it would have cost...More"
15739,Was so refreshing to visit a restaurant and to be welcomed by friendly enthusiastic helpful staff. There is a genuine sense the staff are proud of their new restaurant and want to show it off and ensure you enjoy your time in the sky.
15740,"Recently experienced dinner at the new Aqua Shard, and what a fantastic experience it was. Fantastic service, shown to our table by attentive host John. The setting was fantastic, beautiful views and food. Definitely recommend to diners seeking an all sensory experience."
15741,There is no doubting the views you get from the Shard and this is a big draw for the restaurant.  Sadly with all that glass the windows are dirty very quickly and one of my dining companions commented on how on his 2nd visit again...More
15742,"We went to Aquashard recently for the first time and loved the restaurant, the food and the staff. The view speaks for itself but the restaurant and bar have a nice ambience and the tables are nicely spaced. We loved the menu and in particular...More"
15743,"Beating Sushi Samba and Galvin at Windows for a spectacular view, Aqua Shard really has an unbeatable panorama across London. 

The staff are very attentive and the food was of very high quality, although in terms of modern European cuisine, it did not especially stand...More"
15744,"If you want the WOW! factor, then Aqua Shard or its sister restaurant Aqua Hutong upstairs are the only show in town! Alighting from the lift on the 32nd floor you walk towards the amazing view of London at your feet with my fave St...More"
15745,"If you are looking for a fine dining experience that you will be talking about for the rest of your life, then look no further. Book a dinner at Aqua Shard now! 

The view alone is worth the trip. The food was one of the...More"
15746,"This was my third visit to this wonderful restaurant everything about it, the staff, the food and of course those amazing views, creates the most enjoyable dining experience one could ever wish for. I thoroughly recommend it."
